id,gameId,offense,offenseConference,defense,defenseConference,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,elapsed,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
4017527991,401752799,Iowa,Big Ten,UAlbany,CAA,1,True,1,35,65,"{'minutes': 15, 'seconds': 0}",1,90,10,"{'minutes': 8, 'seconds': 51}","{'minutes': 6, 'seconds': 9}",13,55,FG,True,0,0,3,0
4017527992,401752799,UAlbany,CAA,Iowa,Big Ten,2,False,1,75,75,"{'minutes': 8, 'seconds': 51}",1,67,67,"{'minutes': 6, 'seconds': 42}","{'minutes': 2, 'seconds': 9}",3,8,PUNT,False,0,3,0,3
4017527993,401752799,Iowa,Big Ten,UAlbany,CAA,3,False,1,25,75,"{'minutes': 6, 'seconds': 42}",1,21,79,"{'minutes': 4, 'seconds': 37}","{'minutes': 2, 'seconds': 5}",3,-4,PUNT,True,3,0,3,0
4017527994,401752799,UAlbany,CAA,Iowa,Big Ten,4,False,1,68,68,"{'minutes': 4, 'seconds': 37}",1,50,50,"{'minutes': 2, 'seconds': 19}","{'minutes': 2, 'seconds': 18}",7,18,PUNT,False,0,3,0,3
4017527995,401752799,Iowa,Big Ten,UAlbany,CAA,5,False,1,15,85,"{'minutes': 2, 'seconds': 19}",1,15,85,"{'minutes': 1, 'seconds': 24}","{'minutes': 0, 'seconds': 55}",3,0,PUNT,True,3,0,3,0
4017527996,401752799,UAlbany,CAA,Iowa,Big Ten,6,True,1,68,68,"{'minutes': 1, 'seconds': 24}",2,0,0,"{'minutes': 11, 'seconds': 33}","{'minutes': 4, 'seconds': 51}",9,68,TD,False,0,3,7,3
4017527997,401752799,Iowa,Big Ten,UAlbany,CAA,7,True,2,35,65,"{'minutes': 11, 'seconds': 33}",2,100,0,"{'minutes': 7, 'seconds': 28}","{'minutes': 4, 'seconds': 5}",7,65,TD,True,3,7,10,7
4017527998,401752799,UAlbany,CAA,Iowa,Big Ten,8,False,2,85,85,"{'minutes': 7, 'seconds': 22}",2,62,62,"{'minutes': 4, 'seconds': 40}","{'minutes': 2, 'seconds': 42}",5,23,PUNT,False,7,10,7,10
4017527999,401752799,Iowa,Big Ten,UAlbany,CAA,9,True,2,39,61,"{'minutes': 4, 'seconds': 40}",2,100,0,"{'minutes': 1, 'seconds': 51}","{'minutes': 2, 'seconds': 49}",7,61,TD,True,10,7,17,7
40175279910,401752799,UAlbany,CAA,Iowa,Big Ten,10,False,2,75,75,"{'minutes': 1, 'seconds': 51}",2,48,48,"{'minutes': 0, 'seconds': 8}","{'minutes': 1, 'seconds': 43}",4,27,PUNT,False,7,17,7,17
40175279911,401752799,Iowa,Big Ten,UAlbany,CAA,11,False,2,9,91,"{'minutes': 0, 'seconds': 8}",2,13,87,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 8}",1,4,END OF HALF,True,17,7,17,7
40175279912,401752799,UAlbany,CAA,Iowa,Big Ten,12,False,3,85,85,"{'minutes': 14, 'seconds': 56}",3,76,76,"{'minutes': 13, 'seconds': 55}","{'minutes': 1, 'seconds': 1}",3,9,PUNT,False,7,17,7,17
40175279913,401752799,Iowa,Big Ten,UAlbany,CAA,13,True,3,40,60,"{'minutes': 13, 'seconds': 55}",3,100,0,"{'minutes': 5, 'seconds': 27}","{'minutes': 8, 'seconds': 28}",14,60,TD,True,17,7,24,7
40175279914,401752799,UAlbany,CAA,Iowa,Big Ten,14,False,3,75,75,"{'minutes': 5, 'seconds': 27}",3,74,74,"{'minutes': 4, 'seconds': 16}","{'minutes': 1, 'seconds': 11}",3,1,PUNT,False,7,24,7,24
40175279915,401752799,Iowa,Big Ten,UAlbany,CAA,15,True,3,14,86,"{'minutes': 4, 'seconds': 16}",4,63,37,"{'minutes': 14, 'seconds': 18}","{'minutes': 4, 'seconds': 58}",10,49,FG,True,24,7,27,7
40175279916,401752799,UAlbany,CAA,Iowa,Big Ten,16,False,4,80,80,"{'minutes': 14, 'seconds': 13}",4,70,70,"{'minutes': 10, 'seconds': 36}","{'minutes': 3, 'seconds': 37}",5,10,PUNT,False,7,27,7,27
40175279917,401752799,Iowa,Big Ten,UAlbany,CAA,17,True,4,34,66,"{'minutes': 10, 'seconds': 36}",4,100,0,"{'minutes': 3, 'seconds': 42}","{'minutes': 6, 'seconds': 54}",12,66,TD,True,27,7,34,7
40175279918,401752799,UAlbany,CAA,Iowa,Big Ten,18,False,4,75,75,"{'minutes': 3, 'seconds': 42}",4,82,82,"{'minutes': 1, 'seconds': 50}","{'minutes': 1, 'seconds': 52}",3,-7,PUNT,False,7,34,7,34
40175279919,401752799,Iowa,Big Ten,UAlbany,CAA,19,False,4,53,47,"{'minutes': 1, 'seconds': 50}",4,50,50,"{'minutes': 1, 'seconds': 44}","{'minutes': 0, 'seconds': 6}",1,-3,FUMBLE,True,34,7,34,7
40175279920,401752799,UAlbany,CAA,Iowa,Big Ten,20,False,4,50,50,"{'minutes': 1, 'seconds': 44}",4,30,30,"{'minutes': 0, 'seconds': 0}","{'minutes': 1, 'seconds': 44}",5,20,END OF GAME,False,7,34,7,34
4017528221,401752822,Iowa,Big Ten,Iowa State,Big 12,1,False,1,87,87,"{'minutes': 14, 'seconds': 55}",1,78,78,"{'minutes': 12, 'seconds': 41}","{'minutes': 2, 'seconds': 14}",3,9,PUNT,False,0,0,0,0
4017528222,401752822,Iowa State,Big 12,Iowa,Big Ten,2,True,1,45,55,"{'minutes': 12, 'seconds': 41}",1,74,26,"{'minutes': 8, 'seconds': 42}","{'minutes': 3, 'seconds': 59}",8,29,FG,True,0,0,3,0
4017528223,401752822,Iowa,Big Ten,Iowa State,Big 12,3,False,1,75,75,"{'minutes': 8, 'seconds': 42}",1,78,78,"{'minutes': 7, 'seconds': 9}","{'minutes': 1, 'seconds': 33}",3,-3,PUNT,False,0,3,0,3
4017528224,401752822,Iowa State,Big 12,Iowa,Big Ten,4,True,1,24,76,"{'minutes': 7, 'seconds': 9}",1,91,9,"{'minutes': 3, 'seconds': 18}","{'minutes': 3, 'seconds': 51}",10,67,FG,True,3,0,6,0
4017528225,401752822,Iowa,Big Ten,Iowa State,Big 12,5,False,1,75,75,"{'minutes': 3, 'seconds': 18}",1,76,76,"{'minutes': 0, 'seconds': 3}","{'minutes': 3, 'seconds': 15}",6,-1,PUNT,False,0,6,0,6
4017528226,401752822,Iowa,Big Ten,Iowa State,Big 12,6,True,1,33,33,"{'minutes': 0, 'seconds': 3}",2,12,12,"{'minutes': 12, 'seconds': 53}","{'minutes': 2, 'seconds': 10}",5,21,FG,False,0,6,3,6
4017528227,401752822,Iowa State,Big 12,Iowa,Big Ten,7,False,2,25,75,"{'minutes': 12, 'seconds': 53}",2,30,70,"{'minutes': 10, 'seconds': 53}","{'minutes': 2, 'seconds': 0}",3,5,PUNT,True,6,3,6,3
4017528228,401752822,Iowa,Big Ten,Iowa State,Big 12,8,False,2,70,70,"{'minutes': 10, 'seconds': 53}",2,65,65,"{'minutes': 9, 'seconds': 41}","{'minutes': 1, 'seconds': 12}",3,15,PUNT,False,3,6,3,6
4017528229,401752822,Iowa State,Big 12,Iowa,Big Ten,9,False,2,10,90,"{'minutes': 9, 'seconds': 41}",2,18,82,"{'minutes': 8, 'seconds': 14}","{'minutes': 1, 'seconds': 27}",3,8,PUNT,True,6,3,6,3
40175282210,401752822,Iowa,Big Ten,Iowa State,Big 12,10,False,2,65,65,"{'minutes': 8, 'seconds': 14}",2,67,67,"{'minutes': 7, 'seconds': 35}","{'minutes': 0, 'seconds': 39}",2,-2,INT,False,3,6,3,6
40175282211,401752822,Iowa State,Big 12,Iowa,Big Ten,11,True,2,82,18,"{'minutes': 7, 'seconds': 35}",2,100,0,"{'minutes': 4, 'seconds': 50}","{'minutes': 2, 'seconds': 45}",5,18,TD,True,6,3,13,3
40175282212,401752822,Iowa,Big Ten,Iowa State,Big 12,12,True,2,85,85,"{'minutes': 4, 'seconds': 43}",2,0,0,"{'minutes': 0, 'seconds': 27}","{'minutes': 4, 'seconds': 16}",16,85,TD,False,3,13,10,13
40175282213,401752822,Iowa State,Big 12,Iowa,Big Ten,13,False,2,25,75,"{'minutes': 0, 'seconds': 27}",2,35,65,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 27}",1,10,END OF HALF,True,13,10,13,10
40175282214,401752822,Iowa State,Big 12,Iowa,Big Ten,14,False,3,25,75,"{'minutes': 15, 'seconds': 0}",3,23,77,"{'minutes': 13, 'seconds': 56}","{'minutes': 1, 'seconds': 4}",3,-2,PUNT,True,13,10,13,10
40175282215,401752822,Iowa,Big Ten,Iowa State,Big 12,15,True,3,95,95,"{'minutes': 13, 'seconds': 56}",3,18,18,"{'minutes': 4, 'seconds': 28}","{'minutes': 9, 'seconds': 28}",16,77,FG,False,10,13,13,13
40175282216,401752822,Iowa State,Big 12,Iowa,Big Ten,16,False,3,3,97,"{'minutes': 4, 'seconds': 27}",4,56,44,"{'minutes': 13, 'seconds': 27}","{'minutes': 6, 'seconds': 0}",12,53,PUNT,True,13,13,13,13
40175282217,401752822,Iowa,Big Ten,Iowa State,Big 12,17,False,4,89,89,"{'minutes': 13, 'seconds': 27}",4,49,49,"{'minutes': 8, 'seconds': 21}","{'minutes': 5, 'seconds': 6}",7,40,PUNT,False,13,13,13,13
40175282218,401752822,Iowa State,Big 12,Iowa,Big Ten,18,True,4,10,90,"{'minutes': 8, 'seconds': 21}",4,65,35,"{'minutes': 1, 'seconds': 52}","{'minutes': 6, 'seconds': 29}",13,55,FG,True,13,13,16,13
40175282219,401752822,Iowa,Big Ten,Iowa State,Big 12,19,False,4,76,76,"{'minutes': 1, 'seconds': 48}",4,81,81,"{'minutes': 0, 'seconds': 49}","{'minutes': 0, 'seconds': 59}",4,-5,DOWNS,False,13,16,13,16
40175282220,401752822,Iowa State,Big 12,Iowa,Big Ten,20,False,4,81,19,"{'minutes': 0, 'seconds': 49}",4,81,19,"{'minutes': 0, 'seconds': 0}","{'minutes': 0, 'seconds': 49}",2,0,END OF GAME,True,16,13,16,13
4017528301,401752830,Iowa,Big Ten,Massachusetts,Mid-American,1,True,1,32,68,"{'minutes': 14, 'seconds': 54}",1,100,0,"{'minutes': 13, 'seconds': 29}","{'minutes': 1, 'seconds': 25}",3,68,TD,True,0,0,7,0
4017528302,401752830,Massachusetts,Mid-American,Iowa,Big Ten,2,False,1,75,75,"{'minutes': 13, 'seconds': 29}",1,79,79,"{'minutes': 11, 'seconds': 13}","{'minutes': 2, 'seconds': 16}",3,-4,PUNT,False,0,7,0,7
4017528303,401752830,Iowa,Big Ten,Massachusetts,Mid-American,3,True,1,61,39,"{'minutes': 11, 'seconds': 13}",1,100,0,"{'minutes': 7, 'seconds': 41}","{'minutes': 3, 'seconds': 32}",7,39,TD,True,7,0,13,0
4017528304,401752830,Massachusetts,Mid-American,Iowa,Big Ten,4,False,1,75,75,"{'minutes': 7, 'seconds': 41}",1,76,76,"{'minutes': 5, 'seconds': 33}","{'minutes': 2, 'seconds': 8}",3,-1,PUNT,False,0,13,0,13
4017528305,401752830,Iowa,Big Ten,Massachusetts,Mid-American,5,True,1,48,52,"{'minutes': 5, 'seconds': 33}",1,100,0,"{'minutes': 2, 'seconds': 8}","{'minutes': 3, 'seconds': 25}",7,52,TD,True,13,0,20,0
4017528306,401752830,Massachusetts,Mid-American,Iowa,Big Ten,6,False,1,75,75,"{'minutes': 2, 'seconds': 8}",1,85,85,"{'minutes': 0, 'seconds': 24}","{'minutes': 1, 'seconds': 44}",3,-10,PUNT,False,0,20,0,20
4017528307,401752830,Iowa,Big Ten,Massachusetts,Mid-American,7,False,1,48,52,"{'minutes': 0, 'seconds': 24}",2,54,46,"{'minutes': 14, 'seconds': 10}","{'minutes': 1, 'seconds': 14}",3,6,PUNT,True,20,0,20,0
4017528308,401752830,Massachusetts,Mid-American,Iowa,Big Ten,8,True,2,21,21,"{'minutes': 14, 'seconds': 10}",2,0,0,"{'minutes': 11, 'seconds': 50}","{'minutes': 2, 'seconds': 20}",4,21,TD,False,0,20,7,20
